libdconf1:amd64	0.49.0-4
libdebconfclient0:amd64	0.280ubuntu1
libdebuginfod-common	0.194-4
libdebuginfod1t64:amd64	0.194-4
libdecor-0-0:amd64	0.2.5-1
libdecor-0-plugin-1-gtk:amd64	0.2.5-1
libdeflate0:amd64	1.23-2ubuntu1
libdevmapper-event1.02.1:amd64	2:1.02.205-2ubuntu3
libdevmapper1.02.1:amd64	2:1.02.205-2ubuntu3
libdisplay-info3:amd64	0.3.0-1
libdouble-conversion3:amd64	3.4.0-1
libdpkg-perl	1.23.7ubuntu1
libdrm-amdgpu1:amd64	2.4.131-1
libdrm-common	2.4.131-1
libdrm-intel1:amd64	2.4.131-1
libdrm2:amd64	2.4.131-1
libduktape207:amd64	2.7.0+tests-0ubuntu4
libdv4t64:amd64	1.0.0-17.1build2
libdw1t64:amd64	0.194-4
libeatmydata1:amd64	131-2build1
libedit2:amd64	3.1-20251016-1
libefiboot1t64:amd64	39-2
libefivar1t64:amd64	39-2
libegl-mesa0:amd64	26.0.3-1ubuntu1
libegl1:amd64	1.7.0-3
libelf1t64:amd64	0.194-4
libepoxy0:amd64	1.5.10-2build1
liberror-perl	0.17030-1
libevdev2:amd64	1.13.6+dfsg-1
libevent-core-2.1-7t64:amd64	2.1.12-stable-10build2
libexpat1:amd64	2.7.4-1
libexpat1-dev:amd64	2.7.4-1
libext2fs2t64:amd64	1.47.2-3ubuntu4
libfakeroot:amd64	1.37.2-1
libfdisk1:amd64	2.41.3-3ubuntu2
libfdt1:amd64	1.7.2-2ubuntu1
libffi8:amd64	3.5.2-4
libfftw3-single3:amd64	3.3.10-2fakesync1build3
libfido2-1:amd64	1.16.0-2build1
libfile-fcntllock-perl	0.22-4ubuntu6
libflac14:amd64	1.5.0+ds-5
libfontconfig1:amd64	2.17.1-3ubuntu1
libfreetype6:amd64	2.14.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.16-5
libfuse3-4:amd64	3.18.2-1
libfyaml0:amd64	0.9.4-1
libgail-common:amd64	2.24.33-10
libgail18t64:amd64	2.24.33-10
libgbm1:amd64	26.0.3-1ubuntu1
libgc1:amd64	1:8.2.12-1
libgcc-15-dev:amd64	15.2.0-16ubuntu1
libgcc-s1:amd64	16-20260322-1ubuntu1
libgcrypt20:amd64	1.12.0-2ubuntu1
libgdbm-compat4t64:amd64	1.26-1build1
libgdbm6t64:amd64	1.26-1build1
libgdk-pixbuf-2.0-0:amd64	2.44.5+dfsg-4ubuntu1
libgdk-pixbuf2.0-bin	2.44.5+dfsg-4ubuntu1
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1
libgeoip1t64:amd64	1.6.12-11.1build2
libgif7:amd64	5.2.2-1ubuntu3.2
libgirepository-1.0-1:amd64	1.86.0-6build1
libgirepository-2.0-0:amd64	2.88.0-1
libgl1:amd64	1.7.0-3
libgl1-mesa-dri:amd64	26.0.3-1ubuntu1
libglib2.0-0t64:amd64	2.88.0-1
libglib2.0-bin	2.88.0-1
libglib2.0-data	2.88.0-1
libglvnd0:amd64	1.7.0-3
libglx-mesa0:amd64	26.0.3-1ubuntu1
libglx0:amd64	1.7.0-3
libglycin-2-0:amd64	2.1.1+ds-0ubuntu1
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64:amd64	3.8.12-2ubuntu1.1
